Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.41      0.05     0.05        1    50.00   170.00  mc_function_execfunction
 17.65      0.08     0.03  9932348     0.00     0.00  mc_callframe_readuint8
 17.65      0.11     0.03  5823381     0.00     0.00  mc_vm_stackpush
 17.65      0.14     0.03  3112213     0.00     0.00  mc_value_makeempty
  5.88      0.15     0.01  7208427     0.00     0.00  mc_vallist_get
  5.88      0.16     0.01  6158479     0.00     0.00  mc_vallist_set
  5.88      0.17     0.01   610951     0.00     0.00  mc_vmdo_callobject
  0.00      0.17     0.00  6887877     0.00     0.00  mc_callframe_readopcode
  0.00      0.17     0.00  3940005     0.00     0.00  mc_vm_stackpop
  0.00      0.17     0.00  2992096     0.00     0.00  mc_value_isnumber
  0.00      0.17     0.00  2877829     0.00     0.00  mc_value_getnumber
  0.00      0.17     0.00  2535026     0.00     0.00  mc_value_isnumeric
  0.00      0.17     0.00  2381522     0.00     0.00  mc_value_makenumber
  0.00      0.17     0.00  1833274     0.00     0.00  mc_util_assert
  0.00      0.17     0.00  1827391     0.00     0.00  mc_value_functiongetscriptfunction
  0.00      0.17     0.00  1267513     0.00     0.00  mc_vmdo_math
  0.00      0.17     0.00  1220082     0.00     0.00  mc_vm_setstackpos
  0.00      0.17     0.00  1218244     0.00     0.00  mc_framelist_get
  0.00      0.17     0.00   999739     0.00     0.00  mc_callframe_readuint64
  0.00      0.17     0.00   999739     0.00     0.00  mc_util_uint64todouble
  0.00      0.17     0.00   675651     0.00     0.00  mc_callframe_readuint16
  0.00      0.17     0.00   612824     0.00     0.00  mc_value_makenull
  0.00      0.17     0.00   612781     0.00     0.00  mc_vm_stackget
  0.00      0.17     0.00   610951     0.00     0.00  mc_value_isfuncnative
  0.00      0.17     0.00   609122     0.00     0.00  mc_callframe_init
  0.00      0.17     0.00   609122     0.00     0.00  mc_framelist_set
  0.00      0.17     0.00   609122     0.00     0.00  mc_vm_popframe
  0.00      0.17     0.00   609122     0.00     0.00  mc_vm_pushframe
  0.00      0.17     0.00   439374     0.00     0.00  mc_mathutil_add
  0.00      0.17     0.00   438888     0.00     0.00  mc_mathutil_div
  0.00      0.17     0.00   335517     0.00     0.00  mc_mathutil_mult
  0.00      0.17     0.00   117867     0.00     0.00  mc_value_makebool
  0.00      0.17     0.00   114267     0.00     0.00  mc_value_compare
  0.00      0.17     0.00   114267     0.00     0.00  mc_value_getbool
  0.00      0.17     0.00   114267     0.00     0.00  mc_vmdo_docmpvalgreater
  0.00      0.17     0.00   114267     0.00     0.00  mc_vmdo_docmpvalue
  0.00      0.17     0.00   114267     0.00     0.00  mc_vmdo_tryoverloadoperator
  0.00      0.17     0.00    53734     0.00     0.00  mc_mathutil_sub
  0.00      0.17     0.00     3669     0.00     0.00  mc_vallist_getp
  0.00      0.17     0.00     3297     0.00     0.00  mc_util_strlen
  0.00      0.17     0.00     1844     0.00     0.00  mc_valstring_getdata
  0.00      0.17     0.00     1844     0.00     0.00  mc_valstring_getdataintern
  0.00      0.17     0.00     1844     0.00     0.00  mc_valstring_getlength
  0.00      0.17     0.00     1830     0.00     0.00  mc_callframe_getpos
  0.00      0.17     0.00     1830     0.00     0.00  mc_globalstore_getatindex
  0.00      0.17     0.00     1830     0.00     0.00  mc_printer_printobjstring
  0.00      0.17     0.00     1830     0.00     0.00  mc_printer_printvalue_actual
  0.00      0.17     0.00     1830     0.00     0.00  mc_printer_putlen
  0.00      0.17     0.00     1830     0.00     0.00  mc_scriptfn_print
  0.00      0.17     0.00     1830     0.00     0.00  mc_vallist_pop
  0.00      0.17     0.00     1830     0.00     0.00  mc_value_functiongetnativefunction
  0.00      0.17     0.00     1830     0.00     0.00  mc_vm_callnativefunction
  0.00      0.17     0.00     1830     0.00     0.00  mc_vm_checkassign
  0.00      0.17     0.00     1830     0.00     0.00  mc_vm_haserrors
  0.00      0.17     0.00     1757     0.00     0.00  mc_memory_free
  0.00      0.17     0.00     1714     0.00     0.00  mc_compiler_getcompilationscope
  0.00      0.17     0.00     1680     0.00     0.00  mc_memory_malloc
  0.00      0.17     0.00     1613     0.00     0.00  mc_allocator_malloc
  0.00      0.17     0.00     1586     0.00     0.00  mc_basicarray_push
  0.00      0.17     0.00     1449     0.00     0.00  mc_lexer_readchar
  0.00      0.17     0.00     1408     0.00     0.00  mc_ptrlist_count
  0.00      0.17     0.00     1404     0.00     0.00  mc_ptrlist_get
  0.00      0.17     0.00      983     0.00     0.00  mc_lexer_charisletter
  0.00      0.17     0.00      881     0.00     0.00  mc_lexer_charisdigit
  0.00      0.17     0.00      697     0.00     0.00  mc_lexer_currtokenis
  0.00      0.17     0.00      675     0.00     0.00  mc_basicarray_get
  0.00      0.17     0.00      675     0.00     0.00  mc_basicarray_top
  0.00      0.17     0.00      675     0.00     0.00  mc_compiler_getsrcpositions
  0.00      0.17     0.00      659     0.00     0.00  mc_util_hashdata
  0.00      0.17     0.00      646     0.00     0.00  mc_ptrdict_getcellindex
  0.00      0.17     0.00      556     0.00     0.00  mc_ptrlist_push
  0.00      0.17     0.00      529     0.00     0.00  mc_ptrdict_get
  0.00      0.17     0.00      496     0.00     0.00  mc_ptrlist_top
  0.00      0.17     0.00      471     0.00     0.00  mc_util_strndup
